experience,projects,internship,tech_score,salary
5,3,1,7,17.55
4,1,0,7,14.51
3,8,0,4,13.88
1,5,0,3,8.75
5,2,0,10,18.98
4,8,0,10,19.55
0,5,1,6,10.28
1,1,0,3,6.79
3,1,0,4,9.71
5,3,1,8,18.72
5,2,1,8,18.22
0,5,1,9,13.05
4,3,1,7,16.35
5,7,0,10,21.04
3,5,0,9,16.54
3,6,1,10,19.17
0,7,0,3,7.94
2,4,0,8,13.4
3,4,0,7,13.87
1,6,1,6,12.11
5,1,0,4,13.07
4,5,0,6,15.62
5,1,1,3,14.07
0,8,0,10,13.84
5,2,1,5,15.42
2,1,1,10,14.96
3,1,0,7,12.27
5,4,0,7,16.77
1,4,0,3,7.55
3,5,1,5,14.12
5,6,1,9,20.85
2,8,1,4,13.5
0,8,0,7,12.05
3,6,0,7,14.89
5,6,1,10,21.59
5,1,1,4,14.5
4,3,0,4,12.95
4,4,1,4,14.15
2,1,1,3,9.56
1,5,1,4,10.22
4,6,0,8,17.88
2,4,1,6,12.97
3,8,0,6,15.15
3,7,1,7,17.06
1,7,1,6,12.52
5,3,1,10,19.87
2,7,1,4,12.41
2,6,1,7,14.95
2,5,1,5,12.9
1,8,0,7,12.64
5,7,1,6,18.97
1,6,1,6,12.2
1,3,1,9,13.49
2,3,0,9,13.28
2,6,1,7,14.31
4,7,1,7,18.03
3,8,0,10,18.28
4,6,1,6,16.53
5,2,0,7,16.04
1,2,0,3,6.79
1,7,0,10,14.63
3,2,0,8,13.44
3,8,0,4,13.58
3,7,0,7,15.92
3,3,1,8,15.89
0,2,1,9,11.18
4,7,0,4,14.3
1,7,0,8,13.78
5,1,1,10,19.18
4,6,1,5,16.07
2,3,0,5,10.07
2,3,0,8,12.79
1,4,1,4,9.62
5,6,0,5,16.23
0,4,1,8,11.31
5,6,0,8,18.89
2,7,1,7,15.46
4,2,1,7,15.96
1,2,0,9,11.5
4,3,0,5,13.41
1,1,1,9,12.79
4,8,1,3,15.58
5,2,0,5,14.1
1,5,0,9,13.47
3,1,1,5,11.74
3,3,1,8,15.28
4,2,1,8,16.42
2,6,1,4,12.06
4,1,1,7,15.42
0,2,0,9,10.19
3,5,0,3,11.52
2,8,0,7,14.74
4,3,0,7,15.36
3,4,0,10,16.86
0,4,1,4,8.85
5,5,0,4,15.31
1,3,1,4,9.11
5,5,0,7,18.1
5,4,1,9,19.92
