village,date,pH,turbidity,dissolved_oxygen,nitrates,coliform,rainfall,temperature,diarrhea_cases,growth_rate,contamination_score
Ambegaon,2023-01-01,6.73,2.87,8.85,8.59,47.4,19.7,25.1,4,0.314,19.45
Laxmipur,2023-01-01,8.26,2.16,8.07,11.26,66.4,25.9,20.4,8,0.346,21.18
Bhavanipur,2023-01-01,6.25,1.0,9.82,9.64,16.8,5.4,22.2,2,0.141,8.66
Morwada,2023-01-01,6.07,2.77,8.37,11.16,43.7,7.6,22.0,3,0.194,19.58
Nandgaon,2023-01-01,6.68,2.38,9.3,11.52,52.7,1.4,22.8,6,0.303,14.54
Karanjgaon,2023-01-02,6.93,2.08,9.28,17.77,103.2,72.3,23.5,12,0.686,28.11
Chandpur,2023-01-02,7.48,1.0,8.56,6.58,17.6,8.0,21.5,2,0.181,7.29
Morwada,2023-01-02,7.88,1.0,7.6,7.4,35.0,1.1,21.6,4,0.198,14.56
Jawahar Nagar,2023-01-02,6.62,1.0,9.47,10.64,40.6,6.3,23.0,4,0.299,10.57
Tarwada,2023-01-02,6.81,1.0,9.42,8.76,15.2,4.9,22.0,8,0.204,5.84
Malegaon,2023-01-02,6.67,1.0,9.21,12.05,40.4,5.9,23.8,4,0.233,15.09
Ambegaon,2023-01-03,6.01,1.69,10.0,7.94,22.8,12.6,21.7,1,0.24,10.67
Sonegaon,2023-01-03,7.12,1.0,9.51,9.23,39.9,22.9,22.5,7,0.257,8.49
Ranjangaon,2023-01-04,7.24,3.77,7.25,10.4,57.0,12.1,20.2,8,0.358,25.7
Chikhali,2023-01-04,7.34,1.39,8.68,9.78,32.3,14.7,21.1,3,0.187,12.73
Jawahar Nagar,2023-01-04,7.83,1.28,9.19,11.77,48.6,31.8,21.9,4,0.32,12.82
Tarwada,2023-01-04,6.72,4.81,7.22,11.02,64.1,0.8,23.5,7,0.498,29.27
Jawahar Nagar,2023-01-04,7.1,1.0,8.5,43.99,121.7,29.3,24.0,12,0.657,40.13
Nandgaon,2023-01-04,5.6,1.0,10.0,12.39,41.6,15.6,22.4,6,0.241,14.15
Chikhali,2023-01-05,6.31,2.04,8.34,8.14,27.9,6.1,23.3,4,0.202,9.47
Rampur,2023-01-05,6.7,2.44,7.69,6.52,24.3,7.3,22.9,2,0.139,11.65
Krishnapur,2023-01-05,7.17,3.12,8.11,26.97,97.0,37.9,21.8,8,0.416,30.81
Vadgaon,2023-01-05,6.85,4.71,8.28,11.98,84.9,13.6,23.2,8,0.48,34.6
Sonegaon,2023-01-05,8.25,1.0,8.41,18.62,62.1,63.4,23.8,8,0.386,24.61
Harinagar,2023-01-06,7.05,4.57,7.24,5.53,40.8,2.1,23.2,5,0.261,23.74
Sonegaon,2023-01-06,6.34,5.24,7.37,12.01,71.6,17.5,20.4,8,0.355,32.83
Nandgaon,2023-01-07,6.04,1.0,10.0,10.34,190.6,11.6,21.7,12,0.771,38.99
Morwada,2023-01-07,6.36,1.32,10.0,22.67,103.6,92.5,24.8,8,0.45,32.69
Balkishan,2023-01-08,6.61,4.34,9.72,6.63,58.5,9.2,24.0,4,0.249,24.82
Radhapur,2023-01-08,6.59,5.65,7.61,12.63,90.0,24.1,24.0,8,0.392,34.62
Tulsipur,2023-01-08,6.42,1.64,9.6,9.61,36.0,21.4,20.0,4,0.244,8.74
Sonegaon,2023-01-08,7.19,1.96,8.63,7.63,71.3,6.6,21.3,5,0.358,17.37
Rampur,2023-01-08,7.01,1.0,9.17,7.39,13.9,6.8,20.8,5,0.153,7.66
Chikhali,2023-01-08,7.0,1.0,9.09,9.37,24.6,7.5,22.2,2,0.241,7.49
Karanjgaon,2023-01-09,6.98,1.25,8.6,15.25,38.8,14.2,20.0,6,0.354,14.58
Harinagar,2023-01-09,7.83,1.0,10.0,9.21,138.4,9.5,23.5,10,0.607,29.13
Pimpalgaon,2023-01-09,6.8,2.3,10.0,42.61,114.5,5.4,22.5,11,0.645,40.32
Morwada,2023-01-09,7.5,4.57,8.31,8.67,59.7,13.5,25.3,5,0.285,23.61
Bhimnagar,2023-01-10,7.89,1.0,10.0,10.52,59.4,15.8,22.8,6,0.332,11.23
Laxmipur,2023-01-10,6.56,2.51,8.11,6.79,48.3,5.1,22.2,5,0.296,16.55
Sundarpur,2023-01-10,7.28,7.0,5.99,16.71,116.9,5.7,21.0,12,0.558,53.48
Jawahar Nagar,2023-01-10,7.38,1.0,7.27,11.1,24.6,9.8,24.9,5,0.152,6.7
Morwada,2023-01-10,5.82,1.0,10.0,9.77,28.6,31.1,23.7,5,0.211,11.5
Dhamangaon,2023-01-11,6.09,4.04,8.02,9.75,51.9,17.0,23.1,5,0.319,21.12
Harinagar,2023-01-11,6.91,4.83,7.56,15.84,84.8,3.3,23.3,6,0.438,33.59
Harinagar,2023-01-11,6.34,1.0,9.03,6.82,36.5,5.2,22.5,3,0.238,9.69
Sitapur,2023-01-11,7.01,1.0,10.0,23.97,80.9,70.2,24.9,9,0.395,24.54
Tarwada,2023-01-11,7.15,1.0,9.26,11.34,28.4,5.0,24.1,3,0.164,7.46
Vadgaon,2023-01-11,5.7,2.09,9.2,12.34,40.9,15.8,23.1,7,0.257,16.41
Malegaon,2023-01-11,6.7,2.86,9.63,27.65,113.9,87.5,22.5,15,0.645,39.92
Malegaon,2023-01-12,5.72,1.0,8.77,6.23,15.0,7.9,21.0,1,0.131,6.66
Ranjangaon,2023-01-13,6.47,1.0,8.62,27.2,71.6,23.3,25.5,6,0.349,21.25
